#{"t_start": 1756136666.80379, "env_id": "SuperMarioBros-v2"}
r,l,t
2516.0,274,5.087606
5235.0,536,15.144867
5872.0,594,26.295189
5832.0,578,37.185803
5308.0,528,47.26742
6906.0,667,59.927393
2626.0,281,64.94753
7997.0,925,82.019508
